timestamp,yy,xx,value,type
1588914000,-40,30,-13,soilhumidity
1588914000,-40,60,-13,soilhumidity
1588914000,-40,90,-17,soilhumidity
1588914000,-20,0,-14,soilhumidity
1588914000,-20,30,-13,soilhumidity
1588914000,-20,60,-19,soilhumidity
1588914000,-20,90,-25,soilhumidity
1588917600,-60,0,-21,soilhumidity
1588917600,-60,30,-17,soilhumidity
1588917600,-60,60,-12,soilhumidity
1588917600,-60,90,-13,soilhumidity
1588917600,-40,0,-13,soilhumidity
1588917600,-40,30,-13,soilhumidity
1588917600,-40,60,-16,soilhumidity
1588917600,-40,90,-17,soilhumidity
1588917600,-20,0,-14,soilhumidity
1588917600,-20,30,-13,soilhumidity
1588917600,-20,60,-19,soilhumidity
1588917600,-20,90,-25,soilhumidity
1588921200,-60,0,-17,soilhumidity
1588921200,-60,30,-17,soilhumidity
1588921200,-60,60,-12,soilhumidity
1588921200,-60,90,-14,soilhumidity
1588921200,-40,0,-12,soilhumidity
1588921200,-40,30,-13,soilhumidity
1588921200,-40,60,-31,soilhumidity
1588921200,-40,90,-18,soilhumidity
1588921200,-20,0,-13,soilhumidity
1588921200,-20,30,-22,soilhumidity
1588921200,-20,60,-19,soilhumidity
1588921200,-20,90,-26,soilhumidity
1588924800,-60,0,-17,soilhumidity
1588924800,-60,30,-18,soilhumidity
1588924800,-60,60,-13,soilhumidity
1588924800,-60,90,-21,soilhumidity
1588924800,-40,0,-12,soilhumidity
1588924800,-40,30,-21,soilhumidity
1588924800,-40,60,-21,soilhumidity
1588924800,-40,90,-18,soilhumidity
1588924800,-20,0,-13,soilhumidity
1588924800,-20,30,-22,soilhumidity
1588924800,-20,60,-19,soilhumidity
1588924800,-20,90,-27,soilhumidity
1588928400,-60,0,-17,soilhumidity
1588928400,-60,30,-18,soilhumidity
1588928400,-60,60,-13,soilhumidity
1588928400,-60,90,-18,soilhumidity
1588928400,-40,0,-12,soilhumidity
1588928400,-40,30,-19,soilhumidity
1588928400,-40,60,-31,soilhumidity
1588928400,-40,90,-18,soilhumidity
1588928400,-20,0,-12,soilhumidity
1588928400,-20,30,-25,soilhumidity
1588928400,-20,60,-19,soilhumidity
1588928400,-20,90,-28,soilhumidity
1588932000,-60,0,-17,soilhumidity
1588932000,-60,30,-18,soilhumidity
1588932000,-60,60,-12,soilhumidity
1588932000,-60,90,-21,soilhumidity
1588932000,-40,0,-12,soilhumidity
1588932000,-40,30,-19,soilhumidity
1588932000,-40,60,-17,soilhumidity
1588932000,-40,90,-18,soilhumidity
1588932000,-20,0,-12,soilhumidity
1588932000,-20,30,-27,soilhumidity
1588932000,-20,60,-19,soilhumidity
1588932000,-20,90,-28,soilhumidity
1588935600,-60,0,-17,soilhumidity
1588935600,-60,30,-18,soilhumidity
1588935600,-60,60,-13,soilhumidity
1588935600,-60,90,-21,soilhumidity
1588935600,-40,0,-12,soilhumidity
1588935600,-40,30,-21,soilhumidity
1588935600,-40,60,-17,soilhumidity
1588935600,-40,90,-18,soilhumidity
1588935600,-20,0,-12,soilhumidity
1588935600,-20,30,-32,soilhumidity
1588935600,-20,60,-19,soilhumidity
1588935600,-20,90,-29,soilhumidity
1588939200,-60,0,-17,soilhumidity
1588939200,-60,30,-18,soilhumidity
1588939200,-60,60,-13,soilhumidity
1588939200,-60,90,-21,soilhumidity
1588939200,-40,0,-12,soilhumidity
1588939200,-40,30,-21,soilhumidity
1588939200,-40,60,-17,soilhumidity
1588939200,-40,90,-18,soilhumidity
1588939200,-20,0,-12,soilhumidity
1588939200,-20,30,-31,soilhumidity
1588939200,-20,60,-19,soilhumidity
1588939200,-20,90,-29,soilhumidity
1588942800,-60,0,-17,soilhumidity
1588942800,-60,30,-17,soilhumidity
1588942800,-60,60,-12,soilhumidity
1588942800,-60,90,-21,soilhumidity
1588942800,-40,0,-12,soilhumidity
1588942800,-40,30,-21,soilhumidity
1588942800,-40,60,-17,soilhumidity
1588942800,-40,90,-18,soilhumidity
1588942800,-20,0,-12,soilhumidity
1588942800,-20,30,-30,soilhumidity
1588942800,-20,60,-19,soilhumidity
1588942800,-20,90,-29,soilhumidity
1588946400,-60,0,-17,soilhumidity
1588946400,-60,30,-17,soilhumidity
1588946400,-60,60,-13,soilhumidity
1588946400,-60,90,-21,soilhumidity
1588946400,-40,0,-12,soilhumidity
1588946400,-40,30,-21,soilhumidity
1588946400,-40,60,-17,soilhumidity
1588946400,-40,90,-18,soilhumidity
1588946400,-20,0,-12,soilhumidity
1588946400,-20,30,-22,soilhumidity
1588946400,-20,60,-19,soilhumidity
1588946400,-20,90,-29,soilhumidity
1588950000,-60,0,-17,soilhumidity
1588950000,-60,30,-18,soilhumidity
1588950000,-60,60,-13,soilhumidity
1588950000,-60,90,-21,soilhumidity
1588950000,-40,0,-12,soilhumidity
1588950000,-40,30,-21,soilhumidity
1588950000,-40,60,-21,soilhumidity
1588950000,-40,90,-17,soilhumidity
1588950000,-20,0,-12,soilhumidity
1588950000,-20,30,-22,soilhumidity
1588950000,-20,60,-19,soilhumidity
1588950000,-20,90,-29,soilhumidity
1588953600,-60,0,-17,soilhumidity
1588953600,-60,30,-18,soilhumidity
1588953600,-60,60,-13,soilhumidity
1588953600,-60,90,-21,soilhumidity
1588953600,-40,0,-12,soilhumidity
1588953600,-40,30,-21,soilhumidity
1588953600,-40,60,-21,soilhumidity
1588953600,-40,90,-18,soilhumidity
1588953600,-20,0,-12,soilhumidity
1588953600,-20,30,-21,soilhumidity
1588953600,-20,60,-19,soilhumidity
1588953600,-20,90,-28,soilhumidity
1588957200,-60,0,-17,soilhumidity
1588957200,-60,30,-18,soilhumidity
1588957200,-60,60,-13,soilhumidity
1588957200,-60,90,-21,soilhumidity
1588957200,-40,0,-12,soilhumidity
1588957200,-40,30,-21,soilhumidity
1588957200,-40,60,-27,soilhumidity
1588957200,-40,90,-17,soilhumidity
1588957200,-20,0,-12,soilhumidity
1588957200,-20,30,-21,soilhumidity
1588957200,-20,60,-19,soilhumidity
1588957200,-20,90,-28,soilhumidity
1588960800,-60,0,-17,soilhumidity
1588960800,-60,30,-17,soilhumidity
1588960800,-60,60,-13,soilhumidity
1588960800,-60,90,-21,soilhumidity
1588960800,-40,0,-12,soilhumidity
1588960800,-40,30,-16,soilhumidity
1588960800,-40,60,-29,soilhumidity
1588960800,-40,90,-17,soilhumidity
1588960800,-20,0,-14,soilhumidity
1588960800,-20,30,-15,soilhumidity
1588960800,-20,60,-19,soilhumidity
1588960800,-20,90,-28,soilhumidity
1588964400,-60,0,-17,soilhumidity
1588964400,-60,30,-17,soilhumidity
1588964400,-60,60,-13,soilhumidity
1588964400,-60,90,-13,soilhumidity
1588964400,-40,0,-13,soilhumidity
1588964400,-40,30,-13,soilhumidity
1588964400,-40,60,-22,soilhumidity
1588964400,-40,90,-17,soilhumidity
1588964400,-20,0,-14,soilhumidity
1588964400,-20,30,-13,soilhumidity
1588964400,-20,60,-18,soilhumidity
1588964400,-20,90,-28,soilhumidity
1588968000,-60,0,-22,soilhumidity
1588968000,-60,30,-17,soilhumidity
1588968000,-60,60,-12,soilhumidity
1588968000,-60,90,-13,soilhumidity
1588968000,-40,0,-14,soilhumidity
1588968000,-40,30,-13,soilhumidity
1588968000,-40,60,-21,soilhumidity
1588968000,-40,90,-17,soilhumidity
1588968000,-20,0,-14,soilhumidity
1588968000,-20,30,-13,soilhumidity
1588968000,-20,60,-18,soilhumidity
1588968000,-20,90,-28,soilhumidity
1588971600,-60,0,-22,soilhumidity
1588971600,-60,30,-17,soilhumidity
1588971600,-60,60,-12,soilhumidity
1588971600,-60,90,-13,soilhumidity
1588971600,-40,0,-14,soilhumidity
1588971600,-40,30,-13,soilhumidity
1588971600,-40,60,-21,soilhumidity
1588971600,-40,90,-17,soilhumidity
1588971600,-20,0,-14,soilhumidity
1588971600,-20,30,-13,soilhumidity
1588971600,-20,60,-18,soilhumidity
1588971600,-20,90,-28,soilhumidity
1588975200,-60,0,-27,soilhumidity
1588975200,-60,30,-17,soilhumidity
1588975200,-60,60,-12,soilhumidity
1588975200,-60,90,-13,soilhumidity
1588975200,-40,0,-14,soilhumidity
1588975200,-40,30,-13,soilhumidity
1588975200,-40,60,-18,soilhumidity
1588975200,-40,90,-17,soilhumidity
1588975200,-20,0,-14,soilhumidity
1588975200,-20,30,-13,soilhumidity
1588975200,-20,60,-18,soilhumidity
1588975200,-20,90,-29,soilhumidity
