timestamp,value,type
1591279200,87.825,airhumidity
1591282800,87.95,airhumidity
1591286400,83.5,airhumidity
1591290000,85.475,airhumidity
1591293600,82.4,airhumidity
1591297200,77.1,airhumidity
1591300800,71.825,airhumidity
1591304400,75.075,airhumidity
1591308000,85.05,airhumidity
1591311600,88.7,airhumidity
1591315200,96.95,airhumidity
1591318800,96.65,airhumidity
1591322400,95.75,airhumidity
1591326000,95.4,airhumidity
1591329600,93.725,airhumidity
1591333200,90.75,airhumidity
1591336800,91.4,airhumidity
1591340400,93.6,airhumidity
1591344000,89,airhumidity
1591347600,80.575,airhumidity
1591351200,79.875,airhumidity
1591354800,83.325,airhumidity
1591358400,77.775,airhumidity
1591362000,64.775,airhumidity
1591365600,64.85,airhumidity
1591369200,72.45,airhumidity
1591372800,69.875,airhumidity
1591376400,61.125,airhumidity
1591380000,62.1,airhumidity
1591383600,71.25,airhumidity
1591387200,76.3,airhumidity
1591390800,80.025,airhumidity
1591394400,80.25,airhumidity
1591398000,85.5333333333333,airhumidity
1591401600,93.65,airhumidity
1591405200,94.35,airhumidity
1591408800,94.9,airhumidity
1591412400,94.925,airhumidity
1591416000,95.25,airhumidity
1591419600,96.25,airhumidity
1591423200,94.675,airhumidity
1591426800,88.65,airhumidity
1591430400,83.65,airhumidity
1591434000,78.7,airhumidity
1591437600,75.6,airhumidity
1591441200,67.725,airhumidity
1591444800,62.4,airhumidity
1591448400,59.875,airhumidity
1591452000,61.375,airhumidity
1591455600,58,airhumidity
1591459200,53.35,airhumidity
1591462800,57,airhumidity
1591466400,60.45,airhumidity
1591470000,58.475,airhumidity
1591473600,58.125,airhumidity
1591477200,60.45,airhumidity
1591480800,61.575,airhumidity
1591484400,65.0333333333333,airhumidity
1591488000,81,airhumidity
1591491600,85.4,airhumidity
1591495200,90.35,airhumidity
1591498800,81.1,airhumidity
1591502400,87.4,airhumidity
1591506000,90.05,airhumidity
1591509600,85.3,airhumidity
1591513200,79.025,airhumidity
1591516800,76.075,airhumidity
1591520400,74.95,airhumidity
1591524000,68.1,airhumidity
1591527600,60.3,airhumidity
1591531200,55,airhumidity
1591534800,53.2,airhumidity
1591538400,53.95,airhumidity
1591542000,54.025,airhumidity
1591545600,55.125,airhumidity
1591549200,54.25,airhumidity
1591552800,55.55,airhumidity
1591556400,58.475,airhumidity
1591560000,65.725,airhumidity
1591563600,71.625,airhumidity
1591567200,73.55,airhumidity
1591570800,82.2,airhumidity
1591574400,93.75,airhumidity
1591578000,93.65,airhumidity
1591581600,94.05,airhumidity
1591585200,92.9,airhumidity
1591588800,94.475,airhumidity
1591592400,95.3,airhumidity
1591596000,95.575,airhumidity
1591599600,91.975,airhumidity
1591603200,87.875,airhumidity
1591606800,86.225,airhumidity
1591610400,88.5,airhumidity
1591614000,89.45,airhumidity
1591617600,87.7,airhumidity
1591621200,84.3,airhumidity
1591624800,87.675,airhumidity
1591628400,92.225,airhumidity
1591632000,91.875,airhumidity
1591635600,88.5,airhumidity
1591639200,90.45,airhumidity
1591642800,93.85,airhumidity
1591646400,89.85,airhumidity
1591650000,88.1,airhumidity
1591653600,90.025,airhumidity
1591657200,94.5666666666667,airhumidity
1591660800,96.5,airhumidity
1591664400,93.5,airhumidity
1591668000,89.1,airhumidity
1591671600,94.575,airhumidity
1591675200,95.875,airhumidity
1591678800,95.125,airhumidity
1591682400,92.6,airhumidity
1591686000,92.45,airhumidity
1591689600,91.15,airhumidity
1591693200,90.375,airhumidity
